The Pew Charitable Trusts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Sector Retirement Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funding and Payment Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Aggregate Historical Information (2014-2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All $ figures are in thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003
,State,Liability (Total Pension Liability),Assets (Plan Fiduciary Net Postion),Pension Debt (Net Pension Liability),Funded Ratio,Change in Percent Funded,Funding Rank,Liability,Actuarial Value of Assets,Pension Debt,Funded Ratio,Change in Percent Funded,Funding Rank,Recommended Payment (ARC),Actual Payment,Payment Shortfall,Percent Contributed (Percent of ARC Paid),Liability,Actuarial Value of Assets,Pension Debt,Funded Ratio,Change in Percent Funded,Funding Rank,Recommended Payment (ARC),Actual Payment,Payment Shortfall,Percent Contributed (Percent of ARC Paid),Liability,Actuarial Value of Assets,Pension Debt,Funded Ratio,Change in Percent Funded,Funding Rank,Recommended Payment (ARC),Actual Payment,Payment Shortfall,Percent Contributed (Percent of ARC Paid),Liability,Actuarial Value of Assets,Pension Debt,Funded Ratio,Change in Percent Funded,Funding Rank,Recommended Payment (ARC),Actual Payment,Payment Shortfall,Percent Contributed (Percent of ARC Paid),Liability,Actuarial Value of Assets,Pension Debt,Funded Ratio,Change in Percent Funded,Funding Rank,Recommended Payment (ARC),Actual Payment,Payment Shortfall,Percent Contributed (Percent of ARC Paid),Liability,Actuarial Value of Assets,Pension Debt,Funded Ratio,Change in Percent Funded,Funding Rank,Recommended Payment (ARC),Actual Payment,Payment Shortfall,Percent Contributed (Percent of ARC Paid),Liability,Actuarial Value of Assets,Pension Debt,Funded Ratio,Change in Percent Funded,Funding Rank,Recommended Payment (ARC),Actual Payment,Payment Shortfall,Percent Contributed (Percent of ARC Paid),Liability,Actuarial Value of Assets,Pension Debt,Funded Ratio,Change in Percent Funded,Funding Rank,Recommended Payment (ARC),Actual Payment,Payment Shortfall,Percent Contributed (Percent of ARC Paid),Liability,Actuarial Value of Assets,Pension Debt,Funded Ratio,Change in Percent Funded,Funding Rank,Recommended Payment (ARC),Actual Payment,Payment Shortfall,Percent Contributed (Percent of ARC Paid),Liability,Actuarial Value of Assets,Pension Debt,Funded Ratio,Change in Percent Funded,Funding Rank,Recommended Payment (ARC),Actual Payment,Payment Shortfall,Percent Contributed (Percent of ARC Paid),Liability,Actuarial Value of Assets,Pension Debt,Funded Ratio,Change in Percent Funded,Funding Rank,Recommended Payment (ARC),Actual Payment,Payment Shortfall,Percent Contributed (Percent of ARC Paid)
,Alabama,"47,283,806","33,331,904","13,951,902",70.50%,4.60%,32,"$44,616,643 ","$29,419,597 ","$15,197,052 ",65.90%,-0.20%,30,"$980,614 ","$980,614 ",$0 ,100.00%,"$42,516,832 ","$28,136,859 ","$14,379,973 ",66.20%,-0.70%,26,"$946,573 ","$946,573 ",$0 ,100.00%,"$43,536,747 ","$29,122,163 ","$14,414,584 ",66.90%,-3.20%,32,"$1,185,548 ","$1,185,548 ",$0 ,100.00%,"$42,942,101 ","$30,118,307 ","$12,823,794 ",70.10%,-3.80%,32,"$1,165,133 ","$1,165,133 ",$0 ,100.00%,"$41,634,554 ","$30,763,098 ","$10,871,456 ",73.90%,-3.20%,28,"$1,214,983 ","$1,214,983 ",$0 ,100.00%,"$40,206,232 ","$30,977,314 ","$9,228,918 ",77.00%,-2.30%,32,"$1,069,214 ","$1,069,214 ",$0 ,100.00%,"$38,657,817 ","$30,687,002 ","$7,970,815 ",79.40%,-2.90%,32,"$827,408 ","$827,408 ",$0 ,100.00%,"$35,704,256 ","$29,369,328 ","$6,334,928 ",82.30%,-1.50%,25,"$684,861 ","$684,861 ",$0 ,100.00%,"$33,961,978 ","$28,439,656 ","$5,522,322 ",83.70%,-5.80%,23,"$552,651 ","$552,651 ",$0 ,100.00%,"$30,725,723 ","$27,519,798 ","$3,205,925 ",89.60%,-3.10%,19,"$492,181 ","$492,181 ",$0 ,100.00%,"$28,767,137 ","$26,669,981 ","$2,097,156 ",92.70%,-4.00%,20,"$398,641 ","$398,641 ",$0 ,100.00%
,Alaska,"19,402,488","11,679,592","7,722,897",60.20%,7.80%,45,"$18,779,068 ","$9,830,273 ","$8,948,795 ",52.30%,-2.30%,47,"$652,978 ","$588,882 ","$64,096 ",90.20%,"$18,061,980 ","$9,871,967 ","$8,190,013 ",54.70%,-4.50%,47,"$588,631 ","$517,050 ","$71,581 ",87.80%,"$17,339,451 ","$10,257,331 ","$7,082,120 ",59.20%,-0.40%,45,"$394,768 ","$352,751 ","$42,018 ",89.40%,"$16,592,762 ","$9,876,701 ","$6,716,061 ",59.50%,-1.40%,42,"$397,137 ","$328,803 ","$68,333 ",82.80%,"$15,354,758 ","$9,361,309 ","$5,993,450 ",61.00%,-14.80%,43,"$269,222 ","$333,045 ","($63,823)",123.70%,"$14,567,631 ","$11,032,111 ","$3,535,520 ",75.70%,1.60%,34,"$282,242 ","$300,121 ","($17,878)",106.30%,"$13,860,147 ","$10,275,065 ","$3,585,082 ",74.10%,0.00%,37,"$444,898 ","$319,644 ","$125,255 ",71.80%,"$13,106,922 ","$9,720,898 ","$3,386,024 ",74.20%,10.20%,36,"$424,916 ","$260,916 ","$164,000 ",61.40%,"$11,511,030 ","$7,366,047 ","$4,144,984 ",64.00%,-3.40%,44,"$390,466 ","$183,237 ","$207,229 ",46.90%,"$11,017,241 ","$7,423,361 ","$3,593,881 ",67.40%,-2.10%,44,"$142,747 ","$131,665 ","$11,082 ",92.20%,"$10,606,027 ","$7,371,277 ","$3,234,750 ",69.50%,-3.00%,43,"$104,043 ","$122,921 ","($18,879)",118.10%
,Arizona,"64,345,745","41,440,778","22,904,967",64.40%,-7.30%,40,"$53,313,693 ","$38,206,174 ","$15,107,518 ",71.70%,-0.30%,24,"$1,350,144 ","$1,350,144 ",$0 ,100.00%,"$51,243,743 ","$36,868,930 ","$14,374,813 ",71.90%,-1.30%,21,"$1,209,913 ","$1,209,913 ",$0 ,100.00%,"$48,637,738 ","$35,613,124 ","$13,024,614 ",73.20%,-1.80%,21,"$1,116,650 ","$1,116,650 ",$0 ,100.00%,"$46,500,674 ","$34,902,790 ","$11,597,884 ",75.10%,-2.60%,21,"$1,111,333 ","$1,111,333 ",$0 ,100.00%,"$44,078,394 ","$34,209,571 ","$9,868,823 ",77.60%,-2.30%,22,"$1,127,256 ","$1,127,256 ",$0 ,100.00%,"$41,608,945 ","$33,263,207 ","$8,345,738 ",79.90%,-0.20%,27,"$1,023,336 ","$1,023,336 ",$0 ,100.00%,"$38,901,425 ","$31,159,458 ","$7,741,967 ",80.10%,-3.20%,29,"$848,987 ","$847,263 ","$1,724 ",99.80%,"$36,059,623 ","$30,038,480 ","$6,021,143 ",83.30%,-2.80%,22,"$639,847 ","$639,847 ",$0 ,100.00%,"$33,595,867 ","$28,912,548 ","$4,683,319 ",86.10%,-6.80%,22,"$445,517 ","$445,517 ",$0 ,100.00%,"$30,798,029 ","$28,610,310 ","$2,187,719 ",92.90%,-6.50%,12,"$397,801 ","$397,801 ",$0 ,100.00%,"$28,681,803 ","$28,518,631 ","$163,172 ",99.40%,-8.60%,7,"$199,576 ","$199,576 ",$0 ,100.00%
,Arkansas,"28,496,827","24,370,062","4,126,765",85.50%,11.00%,15,"$26,999,917 ","$20,113,374 ","$6,886,543 ",74.50%,3.10%,20,"$742,059 ","$695,567 ","$46,492 ",93.70%,"$26,255,238 ","$18,745,631 ","$7,509,607 ",71.40%,-1.10%,22,"$712,541 ","$673,360 ","$39,181 ",94.50%,"$25,155,070 ","$18,227,078 ","$6,927,992 ",72.50%,-2.30%,23,"$650,362 ","$634,822 ","$15,540 ",97.60%,"$23,849,287 ","$17,840,827 ","$6,008,461 ",74.80%,-2.70%,22,"$569,776 ","$603,892 ","($34,116)",106.00%,"$22,724,578 ","$17,607,157 ","$5,117,420 ",77.50%,-9.70%,23,"$536,535 ","$553,203 ","($16,668)",103.10%,"$21,576,344 ","$18,811,399 ","$2,764,945 ",87.20%,0.00%,15,"$556,625 ","$558,433 ","($1,808)",100.30%,"$20,138,317 ","$17,554,603 ","$2,583,715 ",87.20%,5.10%,22,"$527,805 ","$529,524 ","($1,719)",100.30%,"$19,139,223 ","$15,715,131 ","$3,424,092 ",82.10%,0.50%,26,"$465,537 ","$502,412 ","($36,875)",107.90%,"$18,115,994 ","$14,792,832 ","$3,323,162 ",81.70%,-4.70%,25,"$410,809 ","$450,532 ","($39,724)",109.70%,"$16,488,595 ","$14,243,095 ","$2,245,500 ",86.40%,-3.40%,26,"$364,772 ","$370,133 ","($5,362)",101.50%,"$15,494,425 ","$13,908,370 ","$1,586,055 ",89.80%,-5.80%,25,"$336,996 ","$342,587 ","($5,591)",101.70%
,California,"646,418,986","493,436,931","152,982,055",76.30%,4.10%,25,"$610,304,199 ","$440,670,471 ","$169,633,728 ",72.20%,-4.60%,23,"$16,222,320 ","$11,348,776 ","$4,873,544 ",70.00%,"$567,751,143 ","$436,287,572 ","$131,463,571 ",76.80%,-0.40%,18,"$16,032,759 ","$11,538,446 ","$4,494,313 ",72.00%,"$548,905,977 ","$424,265,646 ","$124,640,331 ",77.30%,-1.10%,20,"$15,601,794 ","$11,191,156 ","$4,410,637 ",71.70%,"$516,306,424 ","$404,538,541 ","$111,767,883 ",78.40%,-2.30%,18,"$13,320,725 ","$10,027,924 ","$3,292,801 ",75.30%,"$490,585,000 ","$395,898,000 ","$94,687,000 ",80.70%,-6.00%,18,"$12,421,673 ","$10,137,985 ","$2,283,688 ",81.60%,"$455,156,785 ","$394,718,294 ","$60,438,491 ",86.70%,-0.90%,18,"$12,344,808 ","$10,432,440 ","$1,912,367 ",84.50%,"$422,969,927 ","$370,806,464 ","$52,163,463 ",87.70%,0.30%,21,"$11,110,380 ","$9,366,612 ","$1,743,768 ",84.30%,"$382,906,253 ","$334,506,491 ","$48,399,762 ",87.40%,0.50%,19,"$10,232,721 ","$8,789,162 ","$1,443,559 ",85.90%,"$355,483,412 ","$308,809,768 ","$46,673,644 ",86.90%,0.50%,20,"$9,786,581 ","$8,620,097 ","$1,166,484 ",88.10%,"$331,494,229 ","$286,371,128 ","$45,123,101 ",86.40%,-0.10%,25,"$8,016,315 ","$6,883,022 ","$1,133,294 ",85.90%,"$310,525,322 ","$268,702,893 ","$41,822,429 ",86.50%,-9.80%,30,"$4,752,542 ","$4,435,943 ","$316,599 ",93.30%
,Colorado,"68,848,418","44,229,312","24,619,106",64.20%,2.80%,41,"$66,920,789 ","$41,122,833 ","$25,797,956 ",61.50%,-1.80%,37,"$1,402,624 ","$1,102,081 ","$300,543 ",78.60%,"$61,790,595 ","$39,079,472 ","$22,711,123 ",63.20%,2.00%,35,"$1,173,595 ","$994,283 ","$179,312 ",84.70%,"$60,734,721 ","$37,185,067 ","$23,549,654 ",61.20%,-4.90%,41,"$1,056,886 ","$919,058 ","$137,828 ",87.00%,"$59,338,149 ","$39,229,261 ","$20,108,888 ",66.10%,-2.80%,36,"$1,346,763 ","$891,475 ","$455,288 ",66.20%,"$54,536,549 ","$37,598,988 ","$16,937,561 ",68.90%,-0.80%,32,"$1,161,478 ","$857,811 ","$303,667 ",73.90%,"$55,625,011 ","$38,811,963 ","$16,813,048 ",69.80%,-5.40%,40,"$1,141,081 ","$779,644 ","$361,437 ",68.30%,"$52,459,133 ","$39,415,525 ","$13,043,608 ",75.10%,1.00%,36,"$1,121,069 ","$676,586 ","$444,483 ",60.40%,"$49,490,604 ","$36,687,042 ","$12,803,562 ",74.10%,0.80%,37,"$978,924 ","$609,853 ","$369,071 ",62.30%,"$46,752,295 ","$34,273,195 ","$12,479,100 ",73.30%,2.70%,36,"$1,116,007 ","$550,548 ","$565,459 ",49.30%,"$43,570,473 ","$30,755,462 ","$12,815,011 ",70.60%,-5.00%,41,"$999,127 ","$518,561 ","$480,566 ",51.90%,"$40,492,108 ","$30,596,662 ","$9,895,446 ",75.60%,-12.80%,38,"$617,827 ","$426,615 ","$191,212 ",69.10%
,Connecticut,"53,187,915","26,881,236","26,306,679",50.50%,2.10%,47,"$48,949,911 ","$23,693,972 ","$25,255,939 ",48.40%,-0.70%,48,"$1,863,194 ","$1,861,655 ","$1,539 ",99.90%,"$48,200,472 ","$23,654,458 ","$24,546,014 ",49.10%,-6.00%,48,"$1,698,713 ","$1,698,684 ",$29 ,100.00%,"$44,899,473 ","$24,732,705 ","$20,166,768 ",55.10%,1.60%,48,"$1,541,878 ","$1,407,394 ","$134,484 ",91.30%,"$44,826,945 ","$23,959,545 ","$20,867,400 ",53.40%,-8.20%,48,"$1,472,051 ","$1,279,751 ","$192,300 ",86.90%,"$41,311,400 ","$25,452,900 ","$15,858,500 ",61.60%,0.00%,42,"$1,307,200 ","$1,252,934 ","$54,266 ",95.80%,"$41,311,400 ","$25,452,900 ","$15,858,500 ",61.60%,5.00%,46,"$1,248,860 ","$3,243,647 ","($1,994,787)",259.70%,"$35,262,100 ","$19,957,700 ","$15,304,400 ",56.60%,0.10%,49,"$1,092,300 ","$1,088,140 ","$4,160 ",99.60%,"$34,190,000 ","$19,311,400 ","$14,878,600 ",56.50%,-2.70%,49,"$1,031,049 ","$1,031,049 ",$0 ,100.00%,"$31,293,000 ","$18,524,700 ","$12,768,300 ",59.20%,-0.80%,48,"$809,866 ","$716,139 ","$93,727 ",88.40%,"$30,418,900 ","$18,235,900 ","$12,183,000 ",59.90%,-6.20%,48,"$756,144 ","$667,223 ","$88,922 ",88.20%,"$28,114,800 ","$18,588,700 ","$9,526,100 ",66.10%,-2.90%,47,"$657,236 ","$611,465 ","$45,771 ",93.00%
,Delaware,"9,925,413","9,169,696","755,717",92.40%,4.20%,9,"$9,262,484 ","$8,171,825 ","$1,090,659 ",88.20%,-0.10%,8,"$211,532 ","$208,339 ","$3,193 ",98.50%,"$8,899,785 ","$7,862,288 ","$1,037,497 ",88.30%,-2.30%,7,"$196,462 ","$194,272 ","$2,190 ",98.90%,"$8,417,097 ","$7,630,279 ","$786,818 ",90.70%,-1.40%,6,"$176,245 ","$172,426 ","$3,819 ",97.80%,"$7,922,174 ","$7,289,611 ","$632,563 ",92.00%,-2.30%,6,"$148,586 ","$144,236 ","$4,350 ",97.10%,"$7,615,166 ","$7,185,650 ","$429,516 ",94.40%,-4.00%,4,"$148,940 ","$143,793 ","$5,147 ",96.50%,"$7,278,622 ","$7,157,910 ","$120,712 ",98.30%,-0.30%,6,"$146,970 ","$141,714 ","$5,256 ",96.40%,"$6,893,718 ","$6,797,976 ","$95,742 ",98.60%,2.00%,8,"$140,062 ","$133,192 ","$6,870 ",95.10%,"$6,534,992 ","$6,310,990 ","$224,002 ",96.60%,0.10%,9,"$131,303 ","$126,774 ","$4,529 ",96.60%,"$6,151,059 ","$5,932,499 ","$218,560 ",96.40%,-1.20%,10,"$109,825 ","$101,900 ","$7,925 ",92.80%,"$5,762,310 ","$5,629,316 ","$132,994 ",97.70%,-2.80%,9,"$94,106 ","$85,837 ","$8,269 ",91.20%,"$5,314,490 ","$5,340,984 ","($26,494)",100.50%,-2.20%,5,"$76,136 ","$67,287 ","$8,849 ",88.40%
