Plot,Species1,Species2,Species3
0,FESBRA,OREALP,SILACA
5,FESBRA,SILACA,SENFRE
7,CARPHA,GEUROS,FESBRA
9,FESBRA,CARALB,TRISPI
13,FESBRA,TRISPI,CIRSCO
18,FESBRA,SILACA,BESALP
20,TRISPI,SENFRE,NA
22,POASPP,NA,NA
36,FESBRA,ELYSCR,LUZSPI
39,TRISPI,SENFRE,ELYSCR
43,TRISPI,SENFRE,NA
47,FESBRA,ELYSCR,CIRSCO
48,DESCAE,CIRSCO,GENARV
51,FESBRA,BESALP,NA
53,FESBRA,NA,NA
54,FESBRA,NA,NA
56,TRIDAS,FESBRA,GEUROS
57,FESBRA,ELYSCR,BESALP
59,FESBRA,ELYSCR,TRISPI
60,TRISPI,ELYSCR,FESBRA
61,TRISPI,FESBRA,NA
62,FESBRA,NA,NA
66,FESBRA,GEUROS,CARRUP
69,FESBRA,TRISPI,LUZSPI
70,FESBRA,NA,NA
71,CARPYR,DESCAE,FESBRA
74,GEUROS,ERISIM,SILACA
75,CARALB,DESCAE,CARPYR
76,FESBRA,NA,NA
77,GEUROS,CARSCO,FESBRA
79,SIBPRO,CARSCO,KOBMYO
81,CARPYR,KOBMYO,NA
84,CARPYR,UNKOPP,NA
89,SENFRE,ANGGRA,NA
94,CIRSCO,TRISPI,NA
95,AGRVAR,SILACA,ANGGRA
98,GEUROS,ANTMED,CARHET
99,ANTMED,DESCAE,FESBRA
101,MINOBT,SENFRE,NA
103,FESBRA,OXYDIG,NA
104,GEUROS,KOBMYO,TRIDAS
106,FESBRA,GEUROS,TRIDAS
107,OXYDIG,MINOBT,SENFRE
108,CARPHA,TRISPI,CARSPP
109,ERISIM,CARSPP,CARPYR
111,SENFRE,DESCAE,CARALB
112,ERISIM,DESCAE,CARALB
113,DESCAE,LUZSPI,ANTMED
117,ANTMED,SILACA,TRISPI
118,OXYDIG,STEUMB,NA
119,FESBRA,TRISPI,CARPHA
120,TRIDAS,BISBIS,AQUCOR
122,ERISIM,GEUROS,DESCAE
123,CARPYR,NA,NA
124,TRISPI,CARPYR,CARPER
125,CARPHA,ANTMED,CARELY
126,GEUROS,ERISIM,FESBRA
127,MINOBT,TRISPI,NA
128,BESALP,CARALB,FESBRA
129,FESBRA,DESCAE,ANGGRA
132,GEUROS,LLOSER,KOBMYO
133,FESBRA,KOBMYO,OREALP
135,FESBRA,NA,NA
136,FESBRA,TRISPI,NA
137,FESBRA,TRISPI,NA
139,FESBRA,TRISPI,NA
141,FESBRA,UNKMLF,POASPP
145,OXYDIG,STEUMB,NA
146,STEUMB,OXYDIG,NA
147,OXYDIG,CARSPP,NA
148,OXYDIG,STEUMB,SENFRE
149,OXYDIG,NA,NA
151,OXYDIG,NA,NA
152,OXYDIG,CARPYR,NA
153,OXYDIG,STEUMB,NA
154,OXYDIG,NA,NA
155,CARPYR,NA,NA
156,OXYDIG,STEUMB,NA
157,CARPYR,NA,NA
