Asylum_Country,Origin_Country,Year,Refugee_Total
Canada,Afghanistan,2013,2700
Canada,Libya,2013,230
Canada,Syrian Arab Rep.,2013,592
Germany,Afghanistan,2013,24203
Germany,Libya,2013,141
Germany,Syrian Arab Rep.,2013,21253
Lebanon,Afghanistan,2013,16
Lebanon,Libya,2013,5
Lebanon,Syrian Arab Rep.,2013,851284
Sweden,Afghanistan,2013,10499
Sweden,Libya,2013,380
Sweden,Syrian Arab Rep.,2013,17984
Switzerland,Afghanistan,2013,2578
Switzerland,Libya,2013,199
Switzerland,Syrian Arab Rep.,2013,2012
United Kingdom,Afghanistan,2013,9166
United Kingdom,Libya,2013,828
United Kingdom,Syrian Arab Rep.,2013,3169
United States,Afghanistan,2013,1071
United States,Libya,2013,159
United States,Syrian Arab Rep.,2013,3802
Canada,Afghanistan,2012,2609
Canada,Libya,2012,241
Canada,Syrian Arab Rep.,2012,533
Germany,Afghanistan,2012,31746
Germany,Libya,2012,2280
Germany,Syrian Arab Rep.,2012,18165
Lebanon,Afghanistan,2012,12
Lebanon,Libya,2012,4
Lebanon,Syrian Arab Rep.,2012,126755
Sweden,Afghanistan,2012,8454
Sweden,Libya,2012,355
Sweden,Syrian Arab Rep.,2012,6051
Switzerland,Afghanistan,2012,2099
Switzerland,Libya,2012,208
Switzerland,Syrian Arab Rep.,2012,1391
United Kingdom,Afghanistan,2012,9842
United Kingdom,Libya,2012,655
United Kingdom,Syrian Arab Rep.,2012,1713
United States,Afghanistan,2012,1017
United States,Libya,2012,137
United States,Syrian Arab Rep.,2012,1425
Canada,Afghanistan,2011,2659
Canada,Libya,2011,246
Canada,Syrian Arab Rep.,2011,547
Germany,Afghanistan,2011,30425
Germany,Libya,2011,686
Germany,Syrian Arab Rep.,2011,10155
Lebanon,Afghanistan,2011,5
Lebanon,Syrian Arab Rep.,2011,93
Sweden,Afghanistan,2011,6620
Sweden,Libya,2011,346
Sweden,Syrian Arab Rep.,2011,1206
Switzerland,Afghanistan,2011,2127
Switzerland,Libya,2011,223
Switzerland,Syrian Arab Rep.,2011,1074
United Kingdom,Afghanistan,2011,14424
United Kingdom,Libya,2011,515
United Kingdom,Syrian Arab Rep.,2011,693
United States,Afghanistan,2011,1103
United States,Libya,2011,115
United States,Syrian Arab Rep.,2011,373
