Number,UF,LGBT,Month
1,MG,Gay,Janeiro
2,MS,Trans*,Janeiro
3,MS,Gay,Janeiro
4,SP,Gay,Janeiro
5,MG,Bissexual,Janeiro
6,MA,Gay,Janeiro
7,BA,Gay,Janeiro
8,PE,Gay,Janeiro
9,PA,Trans*,Janeiro
10,PA,Trans*,Janeiro
11,SP,Trans*,Janeiro
12,MT,Gay,Janeiro
13,MT,Trans*,Janeiro
14,RN,Gay,Janeiro
15,AM,Trans*,Janeiro
16,SE,Gay,Janeiro
17,CE,Gay,Janeiro
18,CE,Gay,Janeiro
19,RS,Gay,Janeiro
20,SP,Trans*,Janeiro
21,MT,Trans*,Janeiro
22,AM,Gay,Janeiro
23,GO,Gay,Janeiro
24,RJ,Trans*,Janeiro
25,BA,Trans*,Janeiro
26,AM,Gay,Janeiro
27,MG,Trans*,Janeiro
28,SP,Trans*,Janeiro
29,SP,Lesbica,Janeiro
30,AM,Gay,Janeiro
31,PE,Gay,Janeiro
32,SP,Lesbica,Janeiro
33,SP,Lesbica,Janeiro
34,PE,Trans*,Fevereiro
35,BA,Gay,Fevereiro
36,RO,Gay,Fevereiro
37,ES,Gay,Fevereiro
38,ES,Gay,Fevereiro
39,RO,Gay,Fevereiro
40,AP,Trans*,Fevereiro
41,SP,Trans*,Fevereiro
42,PB,Trans*,Fevereiro
43,AM,Gay,Fevereiro
44,AM,Trans*,Fevereiro
45,SP,Trans*,Fevereiro
46,SE,Gay,Fevereiro
47,SC,Gay,Fevereiro
48,PB,Trans*,Fevereiro
49,RN,Gay,Fevereiro
50,SP,Gay,Fevereiro
51,AM,Gay,Fevereiro
52,BA,Trans*,Fevereiro
53,AL,Gay,Fevereiro
54,PA,Trans*,Fevereiro
55,SE,Gay,Fevereiro
56,SP,Hetero,Fevereiro
57,BA,Trans*,Fevereiro
58,CE,Bissexual,Fevereiro
59,MS,Trans*,Fevereiro
60,AL,Trans*,Fevereiro
61,SP,Trans*,Fevereiro
62,PE,Gay,Fevereiro
63,PR,Gay,Fevereiro
64,MG,Gay,Março
65,PR,Trans*,Março
66,MG,Gay,Março
67,MG,Trans*,Março
68,RJ,Gay,Março
69,RJ,Gay,Março
70,BA,Gay,Março
71,PE,Gay,Março
72,SP,Gay,Março
73,SP,Gay,Março
74,SP,Gay,Março
75,BA,Gay,Março
76,PE,Gay,Março
77,BA,Gay,Março
78,BA,Gay,Março
79,MA,Gay,Março
80,BA,Gay,Março
81,PR,Trans*,Março
82,SP,Trans*,Março
83,SP,Gay,Março
84,AL,Gay,Março
85,SP,Trans*,Março
86,CE,Trans*,Março
87,MG,Gay,Março
88,MS,Trans*,Março
89,SP,Trans*,Março
90,PA,Gay,Março
91,SP,Trans*,Março
92,BA,Gay,Março
93,PE,Trans*,Março
94,GO,Gay,Março
95,PE,Lesbica,Março
96,MT,T-Lover,Março
97,AM,Trans*,Março
98,SP,Trans*,Março
99,SP,Lesbica,Março
100,SP,Gay,Abril
101,MG,Gay,Abril
102,PE,Trans*,Abril
103,CE,Gay,Abril
104,MS,Gay,Abril
105,MS,Lesbica,Abril
106,PE,Gay,Abril
107,SP,Gay,Abril
108,PA,Gay,Abril
109,MG,Trans*,Abril
110,RS,Trans*,Abril
111,PE,Gay,Abril
112,CE,Trans*,Abril
113,MG,Trans*,Abril
114,ES,Trans*,Abril
115,CE,Trans*,Abril
116,AM,Trans*,Abril
117,RO,Trans*,Abril
118,RO,Trans*,Abril
119,MG,Trans*,Abril
120,MG,Trans*,Abril
121,PE,Gay,Abril
122,BA,Gay,Abril
123,RO,Gay,Abril
124,PI,Gay,Abril
125,PE,Gay,Abril
126,CE,Trans*,Abril
127,PB,Bissexual,Abril
128,PR,Gay,Abril
129,BA,Bissexual,Abril
130,RN,Gay,Maio
131,PR,Trans*,Maio
132,DF,Gay,Maio
133,SP,Gay,Maio
134,AM,Gay,Maio
135,BA,Gay,Maio
136,GO,Trans*,Maio
137,SP,Trans*,Maio
138,PE,Gay,Maio
139,PE,Trans*,Maio
140,RJ,Trans*,Maio
141,BA,Gay,Maio
142,SP,Gay,Maio
143,SP,Gay,Maio
144,SC,Trans*,Maio
145,BA,Gay,Maio
146,SE,Trans*,Maio
147,BA,Gay,Maio
148,AL,Trans*,Maio
149,AP,Gay,Maio
150,SP,Hetero,Maio
151,CE,Trans*,Maio
152,SP,Gay,Junho
153,AM,Trans*,Junho
154,SC,Trans*,Junho
155,RS,Trans*,Junho
156,SP,Lesbica,Junho
157,BA,Gay,Junho
158,PA,Trans*,Junho
159,SP,Bissexual,Junho
160,BA,Gay,Junho
161,MG,Trans*,Junho
162,DF,Trans*,Junho
163,BA,Gay,Junho
164,PA,Gay,Junho
165,MG,Gay,Junho
166,ES,Gay,Junho
167,RS,Trans*,Junho
168,ES,Gay,Junho
169,RJ,Bissexual,Junho
170,SP,Trans*,Junho
171,MS,Gay,Junho
172,AL,Gay,Junho
173,RJ,Gay,Junho
174,MS,Trans*,Junho
175,AL,Gay,Junho
176,MT,Lesbica,Junho
177,SP,Lesbica,Junho
178,BA,Trans*,Junho
179,AM,Trans*,Junho
180,MG,Gay,Julho
181,RJ,Gay,Julho
182,RO,Trans*,Julho
183,SP,Gay,Julho
184,MS,Trans*,Julho
185,AL,Gay,Julho
186,GO,Trans*,Julho
187,SP,Trans*,Julho
188,TO,Gay,Julho
189,RJ,Lesbica,Julho
190,PE,Trans*,Julho
191,MS,Trans*,Julho
192,GO,Trans*,Julho
193,MG,Trans*,Julho
194,RS,Trans*,Julho
195,GO,Trans*,Julho
196,PE,Trans*,Julho
197,ZZ,Trans*,Julho
198,PB,Gay,Julho
199,MG,Gay,Julho
200,SP,Bissexual,Julho
201,RO,Trans*,Julho
202,PB,Gay,Julho
203,SE,Gay,Julho
204,SP,Trans*,Agosto
205,PA,Trans*,Agosto
206,MG,Gay,Agosto
207,BA,Gay,Agosto
208,SP,Gay,Agosto
209,SP,Gay,Agosto
210,SP,T-Lover,Agosto
211,MG,Trans*,Agosto
212,AM,Gay,Agosto
213,AL,Gay,Agosto
214,MG,Gay,Agosto
215,RJ,Trans*,Agosto
216,PB,Gay,Agosto
217,AM,Trans*,Agosto
218,SE,Hetero,Agosto
219,SC,Gay,Agosto
220,BA,Gay,Setembro
221,AM,Gay,Setembro
222,SP,Gay,Setembro
223,SP,Trans*,Setembro
224,MG,Gay,Setembro
225,RN,Trans*,Setembro
226,PE,Gay,Setembro
227,RN,Trans*,Setembro
228,BA,Gay,Setembro
229,AM,Gay,Setembro
230,AM,Gay,Setembro
231,BA,Gay,Setembro
232,SP,Trans*,Setembro
233,RN,Gay,Setembro
234,PE,Gay,Setembro
235,DF,Lesbica,Setembro
236,DF,Lesbica,Setembro
237,SP,Trans*,Setembro
238,GO,Trans*,Setembro
239,BA,Gay,Setembro
240,BA,Gay,Setembro
241,ES,Trans*,Outubro
242,PI,Gay,Outubro
243,MG,Gay,Outubro
244,PR,Gay,Outubro
245,DF,Trans*,Outubro
246,RO,Gay,Outubro
247,PE,Gay,Outubro
248,BA,Trans*,Outubro
249,RJ,Bissexual,Outubro
250,SP,Trans*,Outubro
251,AP,Gay,Outubro
252,AM,Gay,Outubro
253,SC,Hetero,Outubro
254,MS,Trans*,Outubro
255,MS,Trans*,Outubro
256,MG,Trans*,Outubro
257,MG,Hetero,Outubro
258,AL,Gay,Outubro
259,MG,Gay,Outubro
260,AM,Trans*,Outubro
261,BA,Gay,Outubro
262,PE,Trans*,Outubro
263,BA,Lesbica,Outubro
264,RJ,Gay,Outubro
265,SP,Gay,Outubro
266,AM,Gay,Novembro
267,DF,Trans*,Novembro
268,RN,Gay,Novembro
269,SP,Gay,Novembro
270,AM,Gay,Novembro
271,MA,Bissexual,Novembro
272,ZZ,Gay,Novembro
273,PR,Trans*,Novembro
274,RJ,Trans*,Novembro
275,PE,Gay,Novembro
276,AM,Trans*,Novembro
277,AM,Gay,Novembro
278,MS,Gay,Novembro
279,CE,Gay,Novembro
280,AM,Hetero,Novembro
281,SP,Gay,Novembro
282,MS,Trans*,Novembro
283,SP,Trans*,Novembro
284,SC,Gay,Novembro
285,CE,Bissexual,Novembro
286,MG,Trans*,Novembro
287,PA,Gay,Dezembro
288,MS,Gay,Dezembro
289,RS,Lesbica,Dezembro
290,SE,Trans*,Dezembro
291,SE,Gay,Dezembro
292,PR,Trans*,Dezembro
293,MT,Gay,Dezembro
294,MA,Trans*,Dezembro
295,TO,Gay,Dezembro
296,PA,Hetero,Dezembro
297,GO,Gay,Dezembro
298,SP,Gay,Dezembro
299,SP,Gay,Dezembro
300,SP,Gay,Dezembro
301,GO,Trans*,Dezembro
302,RS,Trans*,Dezembro
303,SP,Trans*,Dezembro
304,AL,Gay,Dezembro
305,RO,Gay,Dezembro
306,GO,Trans*,Dezembro
307,AL,Gay,Dezembro
308,MS,Gay,Dezembro
309,PA,Trans*,Dezembro
310,GO,Trans*,Dezembro
311,AM,Gay,Dezembro
312,PB,Gay,Dezembro
313,BA,Lesbica,Dezembro
314,AL,Gay,Dezembro
315,MS,Lesbica,Dezembro
316,BA,Gay,Dezembro
317,SP,Gay,Dezembro
318,BA,Gay,Dezembro
https://homofobiamata.wordpress.com,,,
